ID,Name_English,Countries,Degree_endangerment,Number_speakers,Description_location,endangerment_score,Countries_list,Region,Population,Area_sq_mi,Pop_density,Coastline,Migration,Infant_mortality,GDP,Literacy,Phones,Arable,Crops,Other,Climate,Birthrate,Deathrate,Agriculture,Industry,Service
389,Gagauz (Bessarabia),"Republic of Moldova, Ukraine",Definitely endangered,180000.0,"since eighteenth- and nineteenth-century immigration, Gagauz has been spoken in the Bujak region, which covers the towns and surrounding areas of Comrat, Ceadîr-Lunga, Basarabeasca, Taraclia and Vulcăneşti in the south of the Republic of Moldova and the adjacent Izmail region of Odessa (Odesa) Province in the Ukraine",2,Moldova,C.W. OF IND. STATES ,4466706.0,33843.0,"132,0","0,00","-0,26","40,42",1800.0,"99,1","208,1","55,3","10,79","33,91",,"15,7","12,64","0,213","0,233","0,555"
389,Gagauz (Bessarabia),"Republic of Moldova, Ukraine",Definitely endangered,180000.0,"since eighteenth- and nineteenth-century immigration, Gagauz has been spoken in the Bujak region, which covers the towns and surrounding areas of Comrat, Ceadîr-Lunga, Basarabeasca, Taraclia and Vulcăneşti in the south of the Republic of Moldova and the adjacent Izmail region of Odessa (Odesa) Province in the Ukraine",2,Ukraine,C.W. OF IND. STATES ,46710816.0,603700.0,"77,4","0,46","-0,39","20,34",5400.0,"99,7","259,9","56,21","1,61","42,18",3,"8,82","14,39","0,187","0,452","0,361"
1557,Kului,India,Definitely endangered,170770.0,"Himachal Pradesh, Kulli district",2,India,ASIA (EX. NEAR EAST)         ,1095351995.0,3287590.0,"333,2","0,21","-0,07","56,29",2900.0,"59,5","45,4","54,4","2,74","42,86",2,"22,01","8,18","0,186","0,276","0,538"
981,Adi,"China, India",Vulnerable,170000.0,East Siang District; Upper Siang District,1,China,ASIA (EX. NEAR EAST)         ,1313973713.0,9596960.0,"136,9","0,15","-0,4","24,18",5000.0,"90,9","266,7","15,4","1,25","83,35",1,"13,25","6,97","0,125","0,473","0,403"
981,Adi,"China, India",Vulnerable,170000.0,East Siang District; Upper Siang District,1,India,ASIA (EX. NEAR EAST)         ,1095351995.0,3287590.0,"333,2","0,21","-0,07","56,29",2900.0,"59,5","45,4","54,4","2,74","42,86",2,"22,01","8,18","0,186","0,276","0,538"
1132,Lhota,India,Vulnerable,170000.0,"Nagaland, Wokha Dt.",1,India,ASIA (EX. NEAR EAST)         ,1095351995.0,3287590.0,"333,2","0,21","-0,07","56,29",2900.0,"59,5","45,4","54,4","2,74","42,86",2,"22,01","8,18","0,186","0,276","0,538"
977,Nyishi,India,Vulnerable,170000.0,"Arunachal Pradesh, Papum Pare, Lower Subansiri, Kurung Kumey and Upper Subansiri districts.",1,India,ASIA (EX. NEAR EAST)         ,1095351995.0,3287590.0,"333,2","0,21","-0,07","56,29",2900.0,"59,5","45,4","54,4","2,74","42,86",2,"22,01","8,18","0,186","0,276","0,538"
1898,Ngäbere (Panama),Panama,Vulnerable,169130.0,"Bocas del Toro, Veraguas, Chiriquí provinces in western Panama",1,Panama,LATIN AMER. & CARIB    ,3191319.0,78200.0,"40,8","3,18","-0,91","20,47",6300.0,"92,6","137,9","7,36","1,98","90,66",2,"21,74","5,36","0,068","0,156","0,776"
1582,Kodagu,India,Definitely endangered,166187.0,Karnataka,2,India,ASIA (EX. NEAR EAST)         ,1095351995.0,3287590.0,"333,2","0,21","-0,07","56,29",2900.0,"59,5","45,4","54,4","2,74","42,86",2,"22,01","8,18","0,186","0,276","0,538"
340,Corsican,"France, Italy",Definitely endangered,160000.0,Corsica (Corse); also spoken on Maddalena Island off the northeast coast of Sardinia and in many émigré communities,2,France,WESTERN EUROPE                     ,60876136.0,547030.0,"111,3","0,63","0,66","4,26",27600.0,"99,0","586,4","33,53","2,07","64,4",4,"11,99","9,14","0,022","0,214","0,764"
340,Corsican,"France, Italy",Definitely endangered,160000.0,Corsica (Corse); also spoken on Maddalena Island off the northeast coast of Sardinia and in many émigré communities,2,Italy,WESTERN EUROPE                     ,58133509.0,301230.0,"193,0","2,52","2,07","5,94",26700.0,"98,6","430,9","27,79","9,53","62,68",,"8,72","10,4","0,021","0,291","0,688"
1253,Dzongkha,Bhutan,Vulnerable,160000.0,"Western Bhutan, in Hâ, Chukha, D'agana, 'Wardi Phodr'a, Paro, Thimphu, Pünakha and Gâsa districts",1,Bhutan,ASIA (EX. NEAR EAST)         ,2279723.0,47000.0,"48,5","0,00",0,"100,44",1300.0,"42,2","14,3","3,09","0,43","96,48",2,"33,65","12,7","0,258","0,379","0,363"
368,Kalmyk,Russian Federation,Definitely endangered,153602.0,"the Kalmyk Republic and the adjacent part of Astrakhan, Rostov, and Volgograd provinces and Stavropol’ Region",2,Russia,C.W. OF IND. STATES ,142893540.0,17075200.0,"8,4","0,22","1,02","15,39",8900.0,"99,6","280,6","7,33","0,11","92,56",,"9,95","14,65","0,054","0,371","0,575"
1071,Lak,Russian Federation,Vulnerable,153373.0,parts of the Republic of Daghestan,1,Russia,C.W. OF IND. STATES ,142893540.0,17075200.0,"8,4","0,22","1,02","15,39",8900.0,"99,6","280,6","7,33","0,11","92,56",,"9,95","14,65","0,054","0,371","0,575"
